adjudicated	Text	Final_Label
10	And that’s what it is — a great privilege and a great honor. We must never forget that while Americans will always have our disagreements, we are a nation of incredible, decent, faithful, and peace-loving citizens who all want our country to thrive and flourish and be very, very successful and good. We are a truly magnificent nation. All Americans were horrified by the assault on our Capitol. Political violence is an attack on everything we cherish as Americans. It can never be tolerated. Now more than ever, we must unify around our shared values and rise above the partisan rancor, and forge our common destiny. Four years ago, I came to Washington as the only true outsider ever to win the presidency. I had not spent my career as a politician, but as a builder looking at open skylines and imagining infinite possibilities. I ran for President because I knew there were towering new summits for America just waiting to be scaled. I knew the potential for our nation was boundless as long as we put America first. So I left behind my former life and stepped into a very difficult arena, but an arena nevertheless, with all sorts of potential if properly done. America had given me so much, and I wanted to give something back. Together with millions of hardworking patriots across this land, we built the greatest political movement in the history of our country. We also built the greatest economy in the history of the	UA
11	As my predecessor, President Bush, once put it: “They are a part of American life.” Now here’s the thing: We expect people who live in this country to play by the rules. We expect that those who cut the line will not be unfairly rewarded. So we’re going to offer the following deal: If you’ve been in America for more than five years; if you have children who are American citizens or legal residents; if you register, pass a criminal background check, and you’re willing to pay your fair share of taxes -- you’ll be able to apply to stay in this country temporarily without fear of deportation. You can come out of the shadows and get right with the law. That’s what this deal is. Now, let’s be clear about what it isn’t. This deal does not apply to anyone who has come to this country recently. It does not apply to anyone who might come to America illegally in the future. It does not grant citizenship, or the right to stay here permanently, or offer the same benefits that citizens receive -– only Congress can do that. All we’re saying is we’re not going to deport you. I know some of the critics of this action call it amnesty. Well, it’s not. Amnesty is the immigration system we have today -– millions of people who live here without paying their taxes or playing by the rules while politicians use the issue to scare people and whip up votes	E
12	August 29 press conference last year, "What really hurts in matters of this sort is not the fact that they occur, because over-zealous people in campaigns do things that are wrong. What really hurts is if you try to cover it up." I believed that then, and certainly the experience of this last year has proved that to be true. I know that the Justice Department and the FBI were conducting intensive investigations—as I had insisted that they should. The White House Counsel, John Dean, was assigned to monitor these investigations, and particularly to check into any possible White House involvement. Throughout the summer of 1972, I continued to press the question, and I continued to get the same answer: I was told again and again that there was no indication that any persons were involved other than the seven who were known to have planned and carried out the operation, and who were subsequently indicted and convicted. On September 12 at a meeting that I held with the Cabinet, the senior White House Staff and a number of legislative leaders, Attorney General Kleindienst reported on the investigation. He told us it had been the most extensive investigation since the assassination of President Kennedy and that it had established that only those seven were involved. On September 15, the day the seven were indicted, I met with John Dean, the White House Counsel. He gave me no reason whatever to believe that any others were guilty; I assumed that the	E
13	But the quest for peace lies before us. The problem is not the death of one man--the problem is the life of this organization. It will either grow to meet the challenges of our age, or it will be gone with the wind, without influence, without force, without respect. Were we to let it die, to enfeeble its vigor, to cripple its powers, we would condemn our future. For in the development of this organization rests the only true alternative to war--and war appeals no longer as a rational alternative. Unconditional war can no longer lead to unconditional victory. It can no longer serve to settle disputes. It can no longer concern the great powers alone. For a nuclear disaster, spread by wind and water and fear, could well engulf the great and the small, the rich and the poor, the committed and the uncommitted alike. Mankind must put an end to war--or war will put an end to mankind. So let us here resolve that Dag Hammarskjold did not live, or die, in vain. Let us call a truce to terror. Let us invoke the blessings of peace. And, as we build an international capacity to keep peace, let us join in dismantling the national capacity to wage war. This will require new strength and new roles for the United Nations. For disarmament without checks is but a shadow-and a community without law is but a shell. Already the United Nations has become both the measure and the vehicle	F
14	But whether the degree be honorary or earned, it is a proud symbol of this university and this State. North Carolina has long been identified with enlightened and progressive leaders and people, and I can think of no more important reason for that reputation than this university, which year after year has sent educated men and women who have had a recognition of their public responsibility as well as in their private interests. Distinguished Presidents like President Graham and Gray, distinguished leaders like the Secretary of Commerce, Governor Hodges, distinguished members of the congressional delegation, carry out a tradition which stretches back to the beginning of this school, and that is that the graduate of this university is a man of his Nation as well as a man of his time. And it is my hope, in a changing world, when untold possibilities lie before North Carolina, and indeed the entire South and country, that this university will still hew to the old line of the responsibility that its graduates owe to the community at large--that in your time, too, you will be willing to give to the State and country a portion of your lives and all of your knowledge and all of your loyalty. I want to emphasize, in the great concentration which we now place upon scientists and engineers, how much we still need the men and women educated in the liberal traditions, willing to take the long look, undisturbed by prejudices and slogans of the moment,	CTA
15	CHESTER A. ARTHUR DEPARTMENT OF STATE, Washington, November 29, 1881. SIR:* The attitude of the United States with respect to the question of general peace on the American continent is well known through its persistent efforts for years past to avert the evils of warfare, or, these efforts failing, to bring positive conflicts to an end through pacific counsels or the advocacy of impartial arbitration. This attitude has been consistently maintained, and always with such fairness as to leave no room for imputing to our Government any motive except the humane and disinterested one of saving the kindred States of the American continent from the burdens of war. The position of the United States as the leading power of the New World might well give to its Government a claim to authoritative utterance for the purpose of quieting discord among its neighbors, with all of whom the most friendly relations exist. Nevertheless, the good offices of this Government are not and have not at any time been tendered with a show of dictation or compulsion, but only as exhibiting the solicitous good will of a common friend. *Sent under the same date, mutatis mutandis, to the United States ministers in the Argentine Republic, Bolivia, Brazil, Central America, Chile, Colombia, Mexico, Paraguay and Uruguay, Peru, and Venezuela; also directly to the minister of foreign relations of Ecuador, in which country the United States had no diplomatic representative. For some years past a growing disposition has been manifested by certain States of	E
16	China ended all arms sales to Iraq. And this past Monday, the United Nations Security Council approved for the first time in 23 years mandatory sanctions under chapter VII of the United Nations Charter. These sanctions, now enshrined in international law, have the potential to deny Iraq the fruits of aggression while sharply limiting its ability to either import or export anything of value, especially oil. I pledge here today that the United States will do its part to see that these sanctions are effective and to induce Iraq to withdraw without delay from Kuwait. But we must recognize that Iraq may not stop using force to advance its ambitions. Iraq has massed an enormous war machine on the Saudi border capable of initiating hostilities with little or no additional preparation. Given the Iraqi government's history of aggression against its own citizens as well as its neighbors, to assume Iraq will not attack again would be unwise and unrealistic. And therefore, after consulting with King Fahd, I sent Secretary of Defense Dick Cheney to discuss cooperative measures we could take. Following those meetings, the Saudi Government requested our help, and I responded to that request by ordering U.S. air and ground forces to deploy to the Kingdom of Saudi Arabia. Let me be clear: The sovereign independence of Saudi Arabia is of vital interest to the United States. This decision, which I shared with the congressional leadership, grows out of the longstanding friendship and security relationship between the United States	C
17	Commissioner of Pensions, in such form as he may prescribe, receive the benefit of this act." It is manifestly of the utmost importance that statutes which, like pension laws, should be liberally administered as measures of benevolence in behalf of worthy beneficiaries should admit of no uncertainty as to their general objects and consequences. Upon a careful consideration of the language of the section of this bill above given it seems to me to be so uncertain and liable to such conflicting constructions and to be subject to such unjust and mischievous application as to alone furnish sufficient ground for disapproving the proposed legislation. Persons seeking to obtain the pension provided by this section must be now or hereafter-- 1. "Suffering from mental or physical disability." 2. Such disability must not be "the result of their own vicious habits or gross carelessness." 3. Such disability must be such as "incapacitates them for the performance of labor in such a degree as to render them unable to earn a support." 4. They must be "dependent upon their daily labor for support." 5. Upon proof of these conditions they shall "be placed on the lists of invalid pensioners of the United States, and be entitled to receive for such total inability to procure their subsistence by daily labor $12 per month." It is not probable that the words last quoted," such total inability to procure their subsistence by daily labor," at all qualify the conditions prescribed in the preceding language of the	E
18	Congress at some future day for its better guidance in legislating on this important subject.The railroads of the country have been rapidly extended during the last few years to meet the growing demands of producers, and reflect much credit upon the capitalists and managers engaged in their construction.In addition to these, a project to facilitate commerce by the building of a ship canal around Niagara Falls, on the United States side, which has been agitated for many years, will no doubt be called to your attention at this session.Looking to the great future growth of the country and the increasing demands of commerce, it might be well while on this subject not only to have examined and reported upon the various practicable routes for connecting the Mississippi with tide water on the Atlantic, but the feasibility of an almost continuous landlocked navigation from Maine to the Gulf of Mexico. Such a route along our coast would be of great value at all times, and of inestimable value in ease of a foreign war. Nature has provided the greater part of this route, and the obstacles to overcome are easily within the skill of the engineer.I have not alluded to this subject with the view of having any further expenditure of public money at this time than may be necessary to procure and place all the necessary information before Congress in an authentic form, to enable it hereafter, if deemed practicable and worthy, to legislate on the subject without delay.NAVY DEPARTMENT.	E
19	East Wing of the White House. This room from which I speak was the scene of work and accomplishment of our Presidents for over a century. Into this room first came John Adams, who had taken over the reins of administration of the newly established republic from George Washington. Each President in the long procession of years down to Roosevelt worked at this fireside. In the refurnishing of the White House by Mr. Roosevelt, the President&#39;s study was moved to another room which was used by our Presidents from Mr. Taft to Mr. Coolidge. But recent extensions to the White House made it possible for me to restore the President&#39;s study to this room, where still lingers the invisible presence of so many of our great men. It is here where the Adamses, father and son, Jefferson, Monroe, Jackson, Grant, McKinley, Roosevelt, and a score of other devoted men worked. Here worked Lincoln. In this room he signed the emancipation of the Negro race from slavery. It is a room crowded with memories of the courage and the high aspirations and the high accomplishment of [p.295] the American Presidents. It is a room in which have been marked many of our national triumphs. The problems of our country today crowd for entry here as they have each day for more than 130 years past. One problem has been ever constant, with each succeeding President--that we should maintain and strengthen the will of the Nation and other nations for peace. In	HC
20	Every investment in personal security is threatened by this process of inflation, and the real values of the people's savings, whether in the form of insurance, bonds, pension and retirement funds or savings accounts are thereby shriveled.We have made long strides these past three years in bringing our Federal finances under control. The deficit for fiscal year 1953 was almost 9-1/2 billion dollars. Larger deficits seemed certain--deficits which would have depreciated the value of the dollar and pushed the cost of living still higher. But government waste and extravagance were searched out. Nonessential activities were dropped. Government expenses were carefully scrutinized. Total spending was cut by 14 billion dollars below the amount planned by the previous Administration for the fiscal year 1954.This made possible--and it was appropriate in the existing circumstances of transition to a peacetime economy--the largest tax cut in any year in our history. Almost 7-½ billion dollars were released and every taxpayer in the country benefited. Almost two-thirds of the savings went directly to individuals. This tax cut also helped to build up the economy, to make jobs in industry and to increase the production .of the many things desired to improve the scale of living for the great majority of Americans.The strong expansion of the economy, coupled with a constant care for efficiency in government operations and an alert guard against waste and duplication, has brought us to a prospective balance between income and expenditure. This is being done while we continue to strengthen our military	HC
21	Four months are already lost. The Congress has acted only negatively. I must now do what I can do as President. First, I will impose an additional $1 import fee on foreign crude oil and 60 cents on refined products, effective June 1. I gave the Congress its 60 days plus an extra 30 days to do something—but nothing has been done since January. Higher fees will further discourage the consumption of imported fuel and may generate some constructive action when the Congress comes back. Second, as I directed on April 30, the Federal Energy Administration has completed public hearings on decontrol of old domestic oil. I will submit a decontrol plan to Congress shortly after it reconvenes. Along with it, I will urge the Congress to pass a windfall profits tax with a plowback provision. These two measures would prevent unfair gains by oil companies from decontrol prices, furnish a substantial incentive to increase domestic energy production, and encourage conservation. When I talk about energy, I am talking about jobs. Our American economy runs on energy—no energy, no jobs. In the long run, it is just that simple. The sudden fourfold increase in foreign oil prices and the 1973 embargo helped to throw us into this recession. We are on our way out of this recession. Another oil embargo could throw us back. We cannot continue to depend on the price and supply whims of others. The Congress cannot drift, dawdle, and debate forever with America's future. I need	E
22	Germany have surrendered to the United Nations. The flags of freedom fly over all Europe. For this victory, we join in offering our thanks to the Providence which has guided and sustained us through the dark days of adversity. Our rejoicing is sobered and subdued by a supreme consciousness of the terrible price we have paid to rid the world of Hitler and his evil band. Let us not forget, my fellow Americans, the sorrow and the heartache which today abide in the homes of so many of our neighbors—neighbors whose most priceless possession has been rendered as a sacrifice to redeem our liberty. We can repay the debt which we owe to our God, to our dead and to our children only by work—by ceaseless devotion to the responsibilities which lie ahead of us. If I could give you a single watchword for the coming months, that word is—work, work, and more work. We must work to finish the war. Our victory is but half-won. The West is free, but the East is still in bondage to the treacherous tyranny of the Japanese. When the last Japanese division has surrendered unconditionally, then only will our fighting job be done. We must work to bind up the wounds of a suffering world—to build an abiding peace, a peace rooted in justice and in law. We can build such a peace only by hard, toilsome, painstaking work—by understanding and working with our allies in peace as we have in war. The	CTA
23	Government to assist an industry--the proposed Federal Farm Board, endowed with extraordinary authority to reorganize the marketing system in the interest of the farmer; to stabilize his industry and to carry out these arrangements in conjunction with farm cooperatives, with a capital of $500 million as an earnest of the seriousness of the work. It is a proposal for steady upbuilding of agriculture onto firm foundations of equality with other industry and would remove the agricultural problem from politics and place it in the realm of business. The conferees bill carried out the plan advanced in the campaign in every particular. Every other plan of agricultural relief was rejected in that campaign and this plan was one of the most important issues in the principal agricultural States and was given as a mandate by an impressive majority in these States. Subsidies were condemned in the course of the campaign and the so-called debenture plan--that is the giving of subsidies on exports--was not raised by either party, nor by its proponents. No serious attempt has been made to meet the many practical objections I and leaders in Congress have advanced against this proposal. It [p.184] was not accepted by the House of Representatives and has been overwhelmingly condemned by the press and is opposed by many leading farm organizations. For no matter what the theory of the export subsidy may be, in the practical world we live in, it will not bring equality but will bring further disparity to agriculture. It	E
24	Government. I believed that to be the most pressing subject for settlement then. A bill to provide the necessary revenues for the Government has already passed the House of Representatives and the Senate and awaits executive action. Another question of very great importance is that of the establishment of our currency and banking system on a better basis, which I commented upon in my inaugural address in the following words: Our financial system needs some revision; our money is all good now, but its value must not further be threatened. It should all be put upon an enduring basis, not subject to easy attack, nor its stability to doubt or dispute. The several forms of our paper money offer, in my judgment, a constant embarrassment to the Government and imperil a safe balance in the Treasury. Nothing was settled more clearly at the late national election than the determination upon the part of the people to keep their currency stable in value and equal to that of the most advanced nations of the world. The soundness of our currency is nowhere questioned. No loss can occur to its holders. It is the system which should be simplified and strengthened, keeping our money just as good as it is now with less expense to the Government and the people. The sentiment of the country is strongly in favor of early action by Congress in this direction, to revise our currency laws and remove them from partisan contention. A notable assembly of	E
25	I cheerfully fulfill--to accompany the first and solemn act of my public trust with an avowal of the principles that will guide me in performing it and an expression of my feelings on assuming a charge so responsible and vast. In imitating their example I tread in the footsteps of illustrious men, whose superiors it is our happiness to believe are not found on the executive calendar of any country. Among them we recognize the earliest and firmest pillars of the Republic--those by whom our national independence was first declared, him who above all others contributed to establish it on the field of battle, and those whose expanded intellect and patriotism constructed, improved, and perfected the inestimable institutions under which we live. If such men in the position I now occupy felt themselves overwhelmed by a sense of gratitude for this the highest of all marks of their country's confidence, and by a consciousness of their inability adequately to discharge the duties of an office so difficult and exalted, how much more must these considerations affect one who can rely on no such claims for favor or forbearance! Unlike all who have preceded me, the Revolution that gave us existence as one people was achieved at the period of my birth; and whilst I contemplate with grateful reverence that memorable event, I feel that I belong to a later age and that I may not expect my countrymen to weigh my actions with the same kind and partial hand. So	APR
26	I hope, may attract the early attention and be deemed worthy of the approval of Congress.The recommendation of the Secretary of the Navy having reference to more ample provisions for the discipline and general improvement in the character of seamen and for the reorganization and gradual increase of the Navy I deem eminently worthy of your favorable consideration. The principles which have controlled our policy in relation to the permanent military force by sea and land are sound, consistent with the theory of our system, and should by no means be disregarded. But, limiting the force to the objects particularly set forth in the preceding part of this message, we should not overlook the present magnitude and prospective extension of our commercial marine, nor fail to give due weight to the fact that besides the 2,000 miles of Atlantic seaboard we have now a Pacific coast stretching from Mexico to the British possessions in the north, teeming with wealth and enterprise and demanding the constant presence of ships of war. The augmentation of the Navy has not kept pace with the duties properly and profitably assigned to it in time of peace, and it is inadequate for the large field of its operations, not merely in the present, but still more in the progressively increasing exigencies of the commerce of the United States. I cordially approve of the proposed apprentice system for our national vessels recommended by the Secretary of the Navy. The occurrence during the last few months of	C
27	I remember when All Landon was against social security. And later President Nixon-16 years ago-was telling the public that John Kennedy's proposals would bankrupt the country and would double the cost. The best thing to do is to look at the record of Mr. Ford's administration and Mr. Nixon's before his. We had last year a $65 billion deficit, the largest deficit in the history of our country, more of a deficit spending than we had in the entire 8-year period under President Johnson and President Kennedy. We've got 500,000 more Americans out of jobs today than were out of work 3 months ago. And since Mr. Ford has been in office, in 2 years we've had a 50-percent increase in unemployment, from 5 million people out of work to 2 1/2 million more people out of work, or a total of 7 1/2 million. We've also got a comparison between himself and Mr. Nixon. He's got four times the size of the deficits that Mr. Nixon even had himself. This talking about more people at work is distorted because with the 14-percent increase in the cost of living in the last 2 years, it means that women and young people have had to go to work when they didn't want to because their fathers couldn't make enough to pay the increased cost of food and housing and clothing. We have, in this last 2 years alone, $120 billion total deficits under President Ford, and at the same time we've	DO
28	Indochina cease-fire and the release of all prisoners. The choice is up to the enemy. This is a settlement offer which is fair to North Vietnam and fair to South Vietnam. It deserves the light of public scrutiny by these nations and by other nations throughout the world. And it deserves the united support of the American people. We made the substance of this generous offer privately over 3 months ago. It has not been rejected, but it has been ignored. I reiterate that peace offer tonight. It can no longer be ignored. The only thing this plan does not do is to join our enemy to overthrow our ally, which the United States of America will never do. If the enemy wants peace, it will have to recognize the important difference between settlement and surrender. This has been a long and agonizing struggle. But it is difficult to see how anyone, regardless of his past position on the war, could now say that we have not gone the extra mile in offering a settlement that is fair, fair to everybody concerned. By the steadiness of our withdrawal of troops, America has proved its resolution to end our involvement in the war; by our readiness to act in the spirit of conciliation, America has proved its desire to be involved in the building of a permanent peace throughout Indochina. We are ready to negotiate peace immediately. If the enemy rejects our offer to negotiate, we shall continue our program of	UA
29	January 23; a reply of Mr. Blaine thereto of date January 27, and a dispatch from Mr. Egan, our minister at Santiago, transmitting the response of Mr. Peteira, the Chilean minister of foreign affairs, to the note of Mr. Blaine of January 21, which was received by me on the 26th instant. The note of Mr. Montt to Mr. Blaine, though dated January 23, was not delivered at the State Department until after 12 o&#39;clock m. of the 25th, and was not translated and its receipt notified to me until late in the afternoon of that day. The response of Mr. Pereira to our note of the 21st withdraws, with acceptable expressions of regret, the offensive note of Mr. Matta of the 11th ultimo, and also the request for the recall of Mr. Egan. The treatment of the incident of the assault upon the sailors of the Baltimore is so conciliatory and friendly that I am of the opinion that there is a good prospect that the differences growing out of that serious affair can now be adjusted upon terms satisfactory to this Government by the usual methods and without special powers from Congress. This turn in the affair is very gratifying to me, as I am sure it will be to the Congress and to our people. The general support of the efforts of the Executive to enforce the just rights of the nation in this matter has given an instructive and useful illustration of the unity and patriotism	HC
30	March of the cross-Channel passenger steamer Sussex by a German submarine, without summons or warning, and the consequent loss of the lives of several citizens of the United States who were passengers aboard her, this Government addressed a note to the Imperial German Government in which it made the following declaration: "If it is still the purpose of the Imperial Government to prosecute relentless and indiscriminate warfare against vessels of commerce by the use of submarines without regard to what the Government of the United States must consider the sacred and indisputable rules of international law and the universally recognized dictates of humanity, the Government of the United States is at last forced to the conclusion that there is but one course it can pursue. Unless the Imperial Government should now immediately declare and effect an abandonment of its present methods of submarine warfare against passenger and freight-carrying vessels, the Government of the United States can have no choice but to sever diplomatic relations with the German Empire altogether." In reply to this declaration the Imperial German Government gave this Government the following assurance: "The German Government is prepared to do its utmost to confine the operations of war for the rest of its duration to the fighting forces of the belligerents, thereby also insuring the freedom of the seas, a principle upon which the German Government believes, now as before, to be in agreement with the Government of the United States. "The German Government, guided by this idea, notifies	HC
